control_weight,velocity_weight,safety_weight,target_weight,mean_return,std_return,mean_safety,std_safety,mean_speed,mean_target_error,mean_control_effort
0.1,5.0,100.0,1.0,86.04056655729487,6.998355869953649,0.8733852250972594,0.07228810592736638,0.4107758916221275,18.598763859656568,0.08245181
0.1,5.0,100.0,5.0,84.64892107130008,8.4825142901796,0.8617049245669318,0.0836865766032132,0.34604178750369385,16.435461287757562,0.08163769
0.1,5.0,100.0,20.0,83.15645278649656,7.960425337001798,0.8658991855279199,0.07934277256521992,0.3639450044650967,15.81872732487147,0.08876031
0.1,20.0,100.0,1.0,82.98069498529802,8.879571047269344,0.8521039440931348,0.08066773126796146,0.28364095838577197,13.95319689301575,0.05636329
0.1,20.0,100.0,5.0,81.86834303676214,8.298064171276092,0.8533652977318918,0.08183391621525929,0.3410233877820295,16.02357810391748,0.07075353
0.1,20.0,100.0,20.0,80.5763859167883,10.363236097415792,0.8386781419824733,0.09465985929962452,0.2638329731474099,12.82533927442325,0.055711485
0.1,50.0,100.0,1.0,80.09338431585971,12.440243103452614,0.8343650161916889,0.11267847114307247,0.23705156613286676,12.450702058819171,0.03493815
0.1,50.0,100.0,5.0,79.7744728203174,12.721517914537825,0.8355959008681535,0.11638187546880244,0.2369429685114313,13.737351150445567,0.02431014
0.1,50.0,100.0,20.0,78.33294497826611,11.744238327312912,0.8384637104221513,0.0967813497209964,0.2496824392902712,13.239679380954563,0.03056549
1.0,5.0,100.0,1.0,85.59466911657053,7.545330778717009,0.8706984822633241,0.07839504899060784,0.44266485848944853,18.544103175685002,0.07188537
1.0,5.0,100.0,5.0,84.38553154047558,7.9565320973890366,0.8572461856332311,0.0786954595353213,0.3254780972717142,14.884660813999762,0.051933505
1.0,5.0,100.0,20.0,83.41785177766076,8.190501925152455,0.8617572520902861,0.07926273045246947,0.2770097780447408,14.549746413722856,0.08304891
1.0,20.0,100.0,1.0,83.78984817275588,8.668233942456666,0.8609190409917045,0.08038046764813012,0.28203743064021053,16.51763693528915,0.04252274
1.0,20.0,100.0,5.0,82.57814758488357,9.91690746972329,0.8504609164169098,0.09242150004539919,0.278494471302208,14.376020049191927,0.04523606
1.0,20.0,100.0,20.0,81.30049830467941,9.221005693055943,0.8531222309717339,0.07885722641897475,0.27008284618285483,14.122498225499351,0.04321053
1.0,50.0,100.0,1.0,80.29216281418242,12.838650524675824,0.8342653925821084,0.11395724280671804,0.22395442759997397,14.213525774573787,0.033889767
1.0,50.0,100.0,5.0,78.27468107855883,9.962065906191437,0.8366560584767577,0.0908312752937145,0.28876879230230285,13.187651153193324,0.04011677
1.0,50.0,100.0,20.0,78.4379127105353,11.236402045007285,0.8432258604832417,0.09291903481717939,0.25624080326074233,13.377493825054874,0.04705014
5.0,5.0,100.0,1.0,84.90037274853512,8.458470120688315,0.8615889047697963,0.08578839092247065,0.3440548638976413,17.553591771551087,0.06504273
5.0,5.0,100.0,5.0,83.54982952204371,7.8981180242602225,0.8549138031357109,0.08230430655657571,0.3778828096143009,17.34197116511009,0.05855972
5.0,5.0,100.0,20.0,82.05609994427314,8.63425669637349,0.8600534928954034,0.08563097332094514,0.37404964638895044,16.39188677661673,0.065594494
5.0,20.0,100.0,1.0,82.93376339568704,8.343165290829745,0.8576373051800913,0.07897094678201816,0.3228689659323604,14.197928975933282,0.03589143
5.0,20.0,100.0,5.0,82.6118273805231,7.987829849428653,0.8615448917968631,0.07841579772486597,0.34120209783224104,14.788417691417415,0.025974613
5.0,20.0,100.0,20.0,81.05116506331568,10.571772942749304,0.846082959022381,0.09558877297451128,0.26336202271729225,13.174130454949202,0.032062758
5.0,50.0,100.0,1.0,78.9944254531233,12.596821533221256,0.8260468635887749,0.11348651228598786,0.23737383314064783,12.5507551840304,0.02907644
5.0,50.0,100.0,5.0,80.02265001735877,12.048737994216422,0.8409211842518272,0.09964615759208538,0.23544916484516687,13.405840057608346,0.028602367
5.0,50.0,100.0,20.0,78.29515850841554,12.015590939696617,0.8331876626655395,0.10381190638875328,0.23451661316932124,12.355297667122308,0.033072162
